,ID,LOCATION,CONDITION,MODEL,MANUFACTURER,YEAR BUILT,CATEGORY,SUBCATEGORY,MATERIAL,LENGTH (m),BEAM (m),DRAUGHT,NUM_ENGINES,ENGINE_HP,ENGINE_KW,PRICE_EUR,LINK
641,488089,Belgium,USED BOAT,Luxe motor Tjalk 26m,Luxe,1902,powerboats,Trawler,Steel,26.0,4.92,1.54,1,761.0,560.0,395000,https://www.boat24.com/en/powerboats/luxe-motor-tjalk-26m/detail/488089/
642,544065,Germany,USED BOAT,Sessa ISLAMORADA 21,Sessa,2004,powerboats,Sport Boat,GRP,6.45,2.49,,1,115.0,85.0,24500,https://www.boat24.com/en/powerboats/sessa/sessa-islamorada-21/detail/544065/
643,492414,Germany,NEW BOAT,nan,nan,2023,powerboats,Bowrider,GRP,5.18,2.31,,1,,,21900,https://www.boat24.com/en/powerboats/quicksilver/quicksilver-525-acess/detail/492414/
644,458810,Switzerland,NEW BOAT,Terhi Saiman,Terhi,2022,powerboats,Fishing Boat,,4.78,1.48,,1,30.0,22.0,7344.0,https://www.boat24.com/en/powerboats/terhi/terhi-saiman/detail/458810/
645,498908,Italy,USED BOAT,Chaparral SIGNATURE 290,Chaparral,2005,powerboats,Sport Boat,GRP,8.84,2.9,,2,270.0,199.0,55000,https://www.boat24.com/en/powerboats/chaparral/chaparral-signature-290/detail/498908/
647,501614,Germany,USED BOAT,nan,nan,,powerboats,Motor Yacht,,10.5,3.3,0.9,1,,,249000,https://www.boat24.com/en/powerboats/bavaria/bavaria-32-sport/detail/501614/
650,531034,Germany,USED BOAT,Bavaria Cruiser 38,Bavaria,2010,sailingboats,Sailing Yacht,GRP,11.6,3.95,1.95,1,40.0,29.0,124000,https://www.boat24.com/en/sailingboats/bavaria/bavaria-cruiser-38/detail/531034/
651,498958,Spain,USED BOAT,Azimut 43,Azimut,1997,powerboats,Flybridge,,13.47,4.42,1.27,2,429.0,316.0,135000,https://www.boat24.com/en/powerboats/azimut/azimut-43/detail/498958/
654,514459,Germany,USED BOAT,More 40,More,2021,sailingboats,Sailing Yacht,GRP,12.5,4.0,2.0,1,40.0,29.0,343000,https://www.boat24.com/en/sailingboats/more/more-40/detail/514459/
655,464325,Switzerland,NEW BOAT,SCAR NEXT 195,SCAR,2023,powerboats,Center Console,GRP,5.9,2.2,,1,,,19278.0,https://www.boat24.com/en/powerboats/scar/scar-next-195/detail/464325/
656,536760,Spain,USED BOAT,Starfisher 1060,Starfisher,2007,powerboats,Cabin Cruiser,GRP,10.6,3.6,,2,25644.0,,75000,https://www.boat24.com/en/powerboats/starfisher/starfisher-1060/detail/536760/
657,470093,Netherlands,USED BOAT,Reality 1900,Reality,2009,powerboats,Trawler,Steel,18.6,5.25,1.5,2,265.0,195.0,749000,https://www.boat24.com/en/powerboats/reality-1900/detail/470093/
658,488793,Hungary,NEW BOAT,AB Inflatables Lammina UL 10,AB,2022,inflatableboats,RIB,Hypalon,3.05,1.68,,1,,,2230,https://www.boat24.com/en/inflatableboats/ab-inflatables/ab-inflatables-lammina-ul-10/detail/488793/
660,526476,Germany,USED BOAT,Chris Craft Corsair 36 - Heritage Edition,Chris,2007,powerboats,Motor Yacht,GRP,10.97,3.81,0.97,2,350.0,257.0,170000,https://www.boat24.com/en/powerboats/chris-craft/chris-craft-corsair-36--heritage-edition/detail/526476/
661,529420,Switzerland,USED BOAT,Mallard Ecume de Mer 75,Mallard,1978,sailingboats,Sailing Yacht,GRP,7.97,2.7,1.25,1,60.0,44.0,8670.0,https://www.boat24.com/en/sailingboats/mallard/mallard-ecume-de-mer-75/detail/529420/
662,542399,Netherlands,USED BOAT,"Speelmans kotter 10,5 x 3,6 meter",Speelmans,1991,powerboats,Motor Yacht,Steel,10.5,3.6,1.15,1,125.0,92.0,60000,https://www.boat24.com/en/powerboats/speelmans-kotter-105-x-36-meter/detail/542399/
663,530938,Switzerland,USED BOAT,BMA X233,BMA,2023,powerboats,Motor Yacht,GRP,7.55,2.54,,1,,,94350.0,https://www.boat24.com/en/powerboats/bma/bma-x233/detail/530938/
664,275380,Germany,NEW BOAT,BlueCraft BlueSloep 170,BlueCraft,2022,powerboats,Sport Boat,GRP,5.1,2.16,,1,,,8999,https://www.boat24.com/en/powerboats/bluecraft/bluecraft-bluesloep-170/detail/275380/
665,543707,Italy,USED BOAT,AICON Yachts 56,AICON,2003,powerboats,Flybridge,,17.4,4.8,,2,800.0,588.0,345000,https://www.boat24.com/en/powerboats/aicon-yachts/aicon-yachts-56/detail/543707/
667,8425,,NEW BOAT,Kotter 1330 AK,de Alm,2023,powerboats,Trawler,,14.0,4.35,1.25,1,150.0,,73200,https://www.boat24.com/en/catalog/powerboats/de-alm/kotter-1330-ak/2023/8425/
668,519125,Croatia,USED BOAT,nan,nan,2001,powerboats,Motor Yacht,GRP,14.8,4.6,1.4,2,600.0,441.0,250000,https://www.boat24.com/en/powerboats/ferretti/ferretti-480/detail/519125/
669,487715,Netherlands,USED BOAT,Fleming Yachts 55,Fleming,2001,powerboats,Motor Yacht,GRP,18.5,4.88,1.53,2,435.0,320.0,399000,https://www.boat24.com/en/powerboats/fleming-yachts/fleming-yachts-55/detail/487715/
670,504820,Turkey,USED BOAT,Bavaria E40 Fly,Bavaria,2017,powerboats,Motor Yacht,GRP,12.29,4.2,1.1,1,211.0,155.0,375000,https://www.boat24.com/en/powerboats/bavaria/bavaria-e40-fly/detail/504820/
671,300028,Spain,USED BOAT,Hallberg-Rassy 53 HT Custom,Hallberg-Rassy,1994,sailingboats,Sailing Yacht,GRP,16.43,4.63,2.3,1,,,495000,https://www.boat24.com/en/sailingboats/hallberg-rassy/hallberg-rassy-53-ht-custom/detail/300028/
672,521978,Germany,NEW BOAT,Beneteau Antares 11 Fly mit Joystick,Beneteau,2022,powerboats,Flybridge,GRP,11.16,3.51,0.75,2,300.0,221.0,359000,https://www.boat24.com/en/powerboats/beneteau/beneteau-antares-11-fly-mit-joystick/detail/521978/
673,544150,France,USED BOAT,Hoffmann Artemis,Hoffmann,2012,sailingboats,Catamaran,Carbon Fiber,11.0,6.0,1.8,2,18.0,13.0,250000,https://www.boat24.com/en/sailingboats/hoffmann/hoffmann-artemis/detail/544150/
674,481313,Switzerland,NEW BOAT,nan,nan,2023,powerboats,Sport Boat,GRP,8.13,2.59,,1,300.0,221.0,229398.0,https://www.boat24.com/en/powerboats/chris-craft/chris-craft-launch-25-gt-outboard/detail/481313/
675,535174,Italy,NEW BOAT,Tuccoli Marine T250 VM,Tuccoli,2023,powerboats,Fishing Boat,,7.77,2.55,0.58,1,350.0,257.0,69661,https://www.boat24.com/en/powerboats/tuccoli-marine-t250-vm/detail/535174/
676,540550,Virgin,USED BOAT,Leopard 50,Leopard,2020,sailingboats,Catamaran,GRP,15.42,8.05,1.6,2,57.0,42.0,874000.0,https://www.boat24.com/en/sailingboats/leopard/leopard-50/detail/540550/
677,531636,Denmark,USED BOAT,Crescent 465,Crescent,,powerboats,Sport Boat,GRP,4.65,1.72,0.3,1,30.0,22.0,6500,https://www.boat24.com/en/powerboats/crescent/crescent-465/detail/531636/
678,430146,Italy,USED BOAT,Baltic Yachts 52,Baltic,1990,sailingboats,Sailing Yacht,GRP,16.0,4.7,2.8,1,88.0,,340000,https://www.boat24.com/en/sailingboats/baltic-yachts-52/detail/430146/
679,543785,Italy,USED BOAT,Azimut AZ 40 Fly,Azimut,1993,powerboats,Flybridge,GRP,11.58,3.86,1.15,2,320.0,235.0,105000,https://www.boat24.com/en/powerboats/azimut/azimut-az-40-fly/detail/543785/
680,545579,Switzerland,USED BOAT,Lodestar RIB 360 open,Lodestar,2013,inflatableboats,RIB,Rubber,UNKNOWN,UNKNOWN,,1,20.0,15.0,4998.0,https://www.boat24.com/en/inflatableboats/lodestar/lodestar-rib-360-open/detail/545579/
681,535065,Saint,USED BOAT,Leopard 40,Leopard,2017,sailingboats,Catamaran,GRP,12.19,6.43,1.24,2,29.0,21.0,330280.0,https://www.boat24.com/en/sailingboats/leopard/leopard-40/detail/535065/
682,10175,,NEW BOAT,N-Zo 680,Zodiac,2022,inflatableboats,RIB,,6.8,2.54,,1,,,50575.0,https://www.boat24.com/en/catalog/inflatableboats/zodiac/n-zo-680/2022/10175/
684,387158,Germany,NEW BOAT,Bombard Typhoon 470 Alu,Bombard,2022,inflatableboats,RIB,,4.7,1.9,,1,,,2899,https://www.boat24.com/en/inflatableboats/bombard/bombard-typhoon-470-alu/detail/387158/
685,316724,Switzerland,NEW BOAT,nan,nan,2023,powerboats,Motor Yacht,GRP,12.04,3.7,,2,430.0,316.0,895968.0,https://www.boat24.com/en/powerboats/sea-ray/sea-ray-slx-400-us/detail/316724/
687,246208,,NEW BOAT,Monaco 110,Parker,2022,powerboats,Hardtop,,11.64,3.63,0.8,1,,,242104,https://www.boat24.com/en/catalog/powerboats/parker/monaco-110/2022/246208/
